year,owner,severity,harvest_area,analysis_area,harvest_rate
1989,Private,Low,22.41404173528933,255.85504158677043,0.08760445600868824
1989,Private,Moderate,146.76053238731237,1409.511074534912,0.10412158871170137
1989,Private,High,570.6400395189712,2351.2294535470755,0.24269857569966258
1990,Federal,Very low,233.801818243504,3271.3521950130444,0.07146947326549526
1990,Federal,Low,142.9889549891573,1270.3412173758713,0.11255948640675288
1990,Federal,Moderate,983.0476286925312,8126.948772520633,0.12096146490014503
1990,Federal,High,3311.374547112343,26568.37085781655,0.12463596525483307
1990,Other,Very low,0.0,62.366928397527936,0.0
1990,Other,Low,0.1253315185546875,20.708510920266544,0.006052174346926646
1990,Other,Moderate,2.2461765065391393,93.60567622482002,0.023996157040138494
1990,Other,High,5.156545544433595,114.31957464822207,0.04510640946925348
1990,Private,Very low,90.91388836736941,1968.1827587228563,0.04619179187727616
1990,Private,Low,44.46217685609108,696.0224745591346,0.06388037524830463
1990,Private,Moderate,339.85863689905506,3734.0833258564794,0.09101527931787712
1990,Private,High,816.037035375115,5181.950148660625,0.1574768208810414
1991,Federal,Very low,13.461365294237323,108.64636006426645,0.12390074813619768
1991,Federal,Low,4.911190748147404,25.10070181358188,0.1956594992690595
1991,Federal,Moderate,19.358692669677733,88.20819445116229,0.21946592139345905
1991,Federal,High,39.5114184753418,234.10579033363496,0.1687759128855047
1991,Other,Very low,0.1209693725585937,4.234999857704313,0.028564197549741634
1991,Other,Low,0.0,0.4138597715130974,0.0
1991,Other,Moderate,0.6048484191894532,2.539639068412033,0.2381631416497496
1991,Other,High,0.241939990234375,1.6288598103841148,0.1485333413544786
1991,Private,Very low,1.3604579461310893,17.432380878571156,0.07804200445180952
1991,Private,Low,0.0683541259765625,4.562144818713618,0.01498289262896223
1991,Private,Moderate,1.9803653049364278,32.216334768688725,0.06147084450032343
1991,Private,High,3.940808648681641,39.92949544074564,0.09869417595145176
1992,Federal,Very low,25.674325198184743,1918.775417965782,0.013380578549105949
1992,Federal,Low,26.289306381812004,821.8716104507985,0.031987120673741556
1992,Federal,Moderate,407.8128288080672,5725.349641294065,0.07122933171918769
1992,Federal,High,3661.179277124239,13595.502040709851,0.26929342264532374
1992,Other,Very low,2.792657878537646,218.62857836409012,0.012773526221658595
1992,Other,Low,0.8965396669874003,98.21137340296127,0.009128674571211809
1992,Other,Moderate,10.596423347550935,471.09490386615823,0.02249318186333313
1992,Other,High,15.006995186887256,200.4321600546923,0.07487318992517103
1992,Private,Very low,818.0121261408551,3984.8411055100605,0.20528098975132145
1992,Private,Low,333.29388468156407,1630.2001784291697,0.204449667649233
1992,Private,Moderate,2321.007923690545,9258.734802300904,0.25068305478560066
1992,Private,High,6931.748801453068,19054.751925084085,0.3637805849536128
1993,Federal,Very low,0.0,0.0,0.0
1993,Federal,Low,0.0,0.0,0.0
1993,Federal,Moderate,0.0,0.0,0.0
