ecoregion,year,harvest_area,analysis_area
Blue Mountains,1986,1111.249373566703,13624.210763999647
Blue Mountains,1987,5.428717074836282,246.33452593936704
Blue Mountains,1988,496.691036051193,14529.328758317994
Blue Mountains,1989,1496.303402117561,17794.238904978967
Blue Mountains,1990,3266.132445286913,24949.362344052093
Blue Mountains,1991,0.0,36.70124465221929
Blue Mountains,1992,83.61974719123393,3338.0201883433374
Blue Mountains,1993,0.0,0.0
Blue Mountains,1994,1075.3506175449027,6930.735780586201
Blue Mountains,1995,0.0,11.181109862994026
Blue Mountains,1996,690.8469113269523,7152.792945414034
Blue Mountains,1997,0.0,289.20218453314095
Blue Mountains,1998,0.5734086547851562,71.56401329080022
Blue Mountains,1999,44.42423605636297,3371.316206639476
Blue Mountains,2000,1468.5425581861548,25868.367027713724
Blue Mountains,2001,183.36386246507834,6660.734362077636
Blue Mountains,2002,506.82743377644863,8640.11185032392
Blue Mountains,2003,53.08103794069777,929.038979806339
Blue Mountains,2004,329.89819720458985,2882.6133624521767
Blue Mountains,2005,1201.5029430820362,17840.1012653479
Blue Mountains,2006,147.68071049713734,15172.490680467003
Blue Mountains,2007,543.1426715809303,56636.92376977485
Blue Mountains,2008,53.30053898770202,2642.9426750476555
Blue Mountains,2009,36.38650548665365,1785.19950386623
Blue Mountains,2010,6.039369012451171,333.6303856288776
Blue Mountains,2011,13.68460018310547,561.8137211862123
Blue Mountains,2012,335.64354860619636,12050.33117748906
Blue Mountains,2013,41.23760977172852,3234.967549750235
Blue Mountains,2014,310.15062260859474,31949.54314625273
Blue Mountains,2015,3430.944388534223,49538.55349436457
Blue Mountains,2016,635.7355964069682,10322.126439036547
Blue Mountains,2017,1.2193170872587316,393.43440080015915
Eastern Cascades,1986,0.0,0.0
Eastern Cascades,1987,2641.8571468271534,14781.314925065011
Eastern Cascades,1988,1543.7083248744352,9156.606338499136
Eastern Cascades,1989,31.526351173191443,319.79766897932467
Eastern Cascades,1990,1394.0504307448682,11682.468870220324
Eastern Cascades,1991,2.9919276171875,82.56690164139093
Eastern Cascades,1992,13063.952022021725,39239.23919438981
Eastern Cascades,1994,798.3806302099849,7273.171071003897
Eastern Cascades,1995,116.09401604449104,697.362048029091
Eastern Cascades,1996,572.551169648629,3422.5008496437226
Eastern Cascades,1998,403.0760825896139,4152.729192389419
Eastern Cascades,1999,434.92447459350586,9650.637451955614
Eastern Cascades,2000,38.01305937531116,490.06475112994025
Eastern Cascades,2001,846.06612091974,19081.6554198618
Eastern Cascades,2002,2462.618453480871,52622.6590402163
Eastern Cascades,2003,793.7563468807925,9539.187102996275
Eastern Cascades,2004,1056.8278165756167,18179.640716928858
Eastern Cascades,2005,298.28734106208356,2068.8284073766854
Eastern Cascades,2006,2003.6644760274253,25722.1889131876
Eastern Cascades,2007,597.4208641278915,9465.75483383454
Eastern Cascades,2008,1780.0567676262112,20572.86456873375
Eastern Cascades,2009,1207.1574959502816,14085.442869009747
Eastern Cascades,2010,130.68027379150394,3715.3739079954144
Eastern Cascades,2011,1094.8311906340955,9327.430916760468
