ecoregion,owner_group,year,harvest_area,analysis_area
Blue Mountains,Federal,1986,878.4069865179084,9925.70798371922
Blue Mountains,Federal,1987,0.0,0.0
Blue Mountains,Federal,1988,311.90961402068496,11867.998668512302
Blue Mountains,Federal,1989,1077.3620975010533,15769.620010511551
Blue Mountains,Federal,1990,3204.827729991503,23630.118502540983
Blue Mountains,Federal,1991,0.0,6.133314447021485
Blue Mountains,Federal,1992,83.61974719123393,3071.9385939160384
Blue Mountains,Federal,1993,0.0,0.0
Blue Mountains,Federal,1994,784.8485861797258,5462.596265329542
Blue Mountains,Federal,1995,0.0,6.749964219444125
Blue Mountains,Federal,1996,380.29109722670614,4258.803861962006
Blue Mountains,Federal,1997,0.0,284.8759663554114
Blue Mountains,Federal,1998,0.5734086547851562,13.551726253973271
Blue Mountains,Federal,1999,16.074062991177428,2454.10229333824
Blue Mountains,Federal,2000,221.09754658466417,15391.140317910089
Blue Mountains,Federal,2001,6.7320572104540055,3448.1584592478553
Blue Mountains,Federal,2002,485.2918124317604,8288.847564382493
Blue Mountains,Federal,2003,53.08103794069777,901.9990532866353
Blue Mountains,Federal,2004,0.0,0.0
Blue Mountains,Federal,2005,530.3686362531596,12059.989324463011
Blue Mountains,Federal,2006,50.9968347332644,13885.710209571294
Blue Mountains,Federal,2007,350.83916934565525,47402.03132407668
Blue Mountains,Federal,2008,13.964455519995596,1397.3633735998296
Blue Mountains,Federal,2009,26.297484045003255,1598.1813002459119
Blue Mountains,Federal,2010,0.0,1.2711433349609376
Blue Mountains,Federal,2011,13.68460018310547,475.90057290120444
Blue Mountains,Federal,2012,328.6152123977721,10861.170893477209
Blue Mountains,Federal,2013,2.242018444824218,1121.8536549890136
Blue Mountains,Federal,2014,104.65886919333067,20541.310426276403
Blue Mountains,Federal,2015,1392.0706165964643,31836.346712988456
Blue Mountains,Federal,2016,632.1361787006692,10069.04593458938
Blue Mountains,Federal,2017,1.2193170872587316,392.72608820647616
Blue Mountains,Other,1986,0.1250001892089843,95.38149824218752
Blue Mountains,Other,1987,5.428717074836282,200.01745973453302
Blue Mountains,Other,1988,60.22154386295095,723.2982324265183
Blue Mountains,Other,1989,0.0,41.87234130612841
Blue Mountains,Other,1990,0.0,0.0030565837545955
Blue Mountains,Other,1991,0.0,0.0
Blue Mountains,Other,1992,0.0,34.59212080808154
Blue Mountains,Other,1993,0.0,0.0
Blue Mountains,Other,1994,0.0,0.1278380004882812
Blue Mountains,Other,1995,0.0,4.431145643549901
Blue Mountains,Other,1996,0.0,5.82116954573089
Blue Mountains,Other,1997,0.0,0.0
Blue Mountains,Other,1998,0.0,37.71468716918946
Blue Mountains,Other,1999,28.350173065185544,812.1107476283414
Blue Mountains,Other,2000,453.49828359092567,6010.4432500691255
Blue Mountains,Other,2001,12.14580010986328,957.890710878643
Blue Mountains,Other,2002,0.0,42.548016877106306
Blue Mountains,Other,2003,0.0,0.0
Blue Mountains,Other,2004,329.89819720458985,2882.6133624521767
Blue Mountains,Other,2005,8.272490185546875,246.0265537998813
Blue Mountains,Other,2006,0.0112566639619715,6.808979158959483
Blue Mountains,Other,2007,86.7046499769742,4473.614841486648
Blue Mountains,Other,2008,0.0,124.93066891986925
Blue Mountains,Other,2009,6.311087719726563,40.98936649971757
Blue Mountains,Other,2010,0.0635738098144531,94.74390632992015
Blue Mountains,Other,2011,0.0,0.0
Blue Mountains,Other,2012,0.43769296875,121.95722190367457
Blue Mountains,Other,2013,0.2547863769531249,1129.1090135634956
Blue Mountains,Other,2014,32.78942886266372,6425.345961435667
Blue Mountains,Other,2015,378.6495615844726,5454.686043166504
Blue Mountains,Other,2016,0.0,23.84160851172354
Blue Mountains,Other,2017,0.0,0.2696756077426088
Blue Mountains,Private,1986,232.71738685958564,3603.1212820382393
Blue Mountains,Private,1987,0.0,46.31706620483399
Blue Mountains,Private,1988,124.55987816755706,1938.0318573791744
Blue Mountains,Private,1989,418.9413046165078,1982.7465531612859
Blue Mountains,Private,1990,61.30471529541016,1319.2407849273561
Blue Mountains,Private,1991,0.0,30.567930205197804
Blue Mountains,Private,1992,0.0,231.48947361921722
Blue Mountains,Private,1993,0.0,0.0
Blue Mountains,Private,1994,290.50203136517695,1468.0116772561707
Blue Mountains,Private,1995,0.0,0.0
Blue Mountains,Private,1996,310.55581410024604,2888.167913906298
Blue Mountains,Private,1997,0.0,4.326218177729588
Blue Mountains,Private,1998,0.0,20.297599867637487
Blue Mountains,Private,1999,0.0,105.10316567289465
Blue Mountains,Private,2000,793.946728010565,4466.783459734509
Blue Mountains,Private,2001,164.48600514476107,2254.685191951138
Blue Mountains,Private,2002,21.535621344688266,308.71626906431914
Blue Mountains,Private,2003,0.0,27.039926519703588
Blue Mountains,Private,2004,0.0,0.0
Blue Mountains,Private,2005,662.8618166433297,5534.085387085008
Blue Mountains,Private,2006,96.67261909991096,1279.9714917367492
Blue Mountains,Private,2007,105.59885225830078,4761.277604211522
Blue Mountains,Private,2008,39.336083467706416,1120.6486325279566
Blue Mountains,Private,2009,3.7779337219238283,146.02883712060068
Blue Mountains,Private,2010,5.975795202636719,237.6153359639965
Blue Mountains,Private,2011,0.0,85.91314828500786
Blue Mountains,Private,2012,6.5906432396742884,1067.2030621081785
Blue Mountains,Private,2013,38.74080494995118,984.0048811977252
Blue Mountains,Private,2014,172.70232455260034,4982.8867585406615
Blue Mountains,Private,2015,1660.224210353286,12247.520738209612
Blue Mountains,Private,2016,3.599417706298828,229.23889593544158
Blue Mountains,Private,2017,0.0,0.4386369859403721
Eastern Cascades,Federal,1986,0.0,0.0
Eastern Cascades,Federal,1987,2395.5610904355517,12501.512655215038
Eastern Cascades,Federal,1988,337.3689984644991,4603.314521413144
Eastern Cascades,Federal,1989,25.805609183373544,154.23999530429018
Eastern Cascades,Federal,1990,214.6634158617446,3692.60481107374
Eastern Cascades,Federal,1991,1.8145248107910157,36.17109946918562
Eastern Cascades,Federal,1992,3383.275373061668,12671.05782656858
Eastern Cascades,Federal,1994,472.397004251709,4485.951736528248
Eastern Cascades,Federal,1995,44.68248106689453,200.35033818699262
Eastern Cascades,Federal,1996,385.63713621744796,2877.630417811567
Eastern Cascades,Federal,1998,160.08048348091873,884.0750265801643
Eastern Cascades,Federal,1999,217.50372934194527,2142.6816173596667
Eastern Cascades,Federal,2000,0.0,0.0
Eastern Cascades,Federal,2001,279.4012318439559,16468.225664774218
Eastern Cascades,Federal,2002,1567.1066242603974,40991.07051016867
Eastern Cascades,Federal,2003,694.1348046678014,8997.112631602855
Eastern Cascades,Federal,2004,729.2446896414724,16109.066376734525
Eastern Cascades,Federal,2005,4.532125244140626,569.9512500981112
Eastern Cascades,Federal,2006,1254.6867566357423,23437.281690773696
Eastern Cascades,Federal,2007,159.27693656400794,3279.458542793903
Eastern Cascades,Federal,2008,451.26862070767277,12208.77970996704
Eastern Cascades,Federal,2009,335.0319572251264,9894.7866796116
Eastern Cascades,Federal,2010,0.3180054260253906,1062.0877143793084
Eastern Cascades,Federal,2011,238.64826542968748,754.845516434757
Eastern Cascades,Federal,2012,1300.7717071586578,28863.519566321564
Eastern Cascades,Federal,2013,35.99558703141755,3742.018872741771
Eastern Cascades,Federal,2014,3442.089362190588,60565.11014112381
Eastern Cascades,Federal,2015,845.2984765623564,23890.027818178423
Eastern Cascades,Federal,2016,0.0,576.1396593239699
Eastern Cascades,Federal,2017,559.0521680767943,20079.33832823866
Eastern Cascades,Other,1986,0.0,0.0
Eastern Cascades,Other,1987,9.61134956016391,69.59345437265434
Eastern Cascades,Other,1988,0.0,0.0
Eastern Cascades,Other,1989,0.0,0.0
Eastern Cascades,Other,1990,7.5280535695274216,285.8250459748631
Eastern Cascades,Other,1991,0.9677577819824219,8.817358508013559
Eastern Cascades,Other,1992,8.817271838378906,293.33991849776925
Eastern Cascades,Other,1994,35.9847121997549,587.9886368513041
Eastern Cascades,Other,1995,0.0,3.086068431851256
Eastern Cascades,Other,1996,0.0,0.0
Eastern Cascades,Other,1998,5.823954748535157,105.81664831559723
