year,owner,severity,harvest_area,analysis_area
1994,nonfed_public,Low,0.6922402404785156,18.094215687375538
1994,nonfed_public,Moderate,16.001862154181985,151.75059933284984
1994,nonfed_public,High,90.90339533081055,510.6953265075684
1994,other_fed,Very low,0.0,0.0
1994,other_fed,Low,0.0,0.0
1994,other_fed,Moderate,0.0,0.0
1994,other_fed,High,0.0,0.0
1994,private,Very low,85.3073096468817,1149.9541929204247
1994,private,Low,36.61836070614086,323.21832543837604
1994,private,Moderate,349.96391172449455,2127.3545266972083
1994,private,High,1043.864769221359,3302.1816298030603
1994,tribal,Very low,1.1129286491842831,35.321820209577965
1994,tribal,Low,1.3101463928222656,23.874709531226067
1994,tribal,Moderate,18.963531658480772,266.483366436672
1994,tribal,High,14.59810549926758,226.5187675475356
1994,usfs,Very low,213.45512873465742,3032.371917801729
1994,usfs,Low,37.2634680910836,908.6886020263194
1994,usfs,Moderate,447.66711744032915,6897.102337245879
1994,usfs,High,2173.8366613859766,13511.513328297719
1995,blm,Very low,0.0,0.4615930349312576
1995,blm,Low,0.0,0.0931681074793198
1995,blm,Moderate,0.0,2.50075233060949
1995,blm,High,0.0,22.03942559359681
1995,nonfed_public,Very low,0.0,1.3853312292959175
1995,nonfed_public,Low,0.0,0.3195869906795726
1995,nonfed_public,Moderate,0.0,5.250532824419808
1995,nonfed_public,High,0.0,0.5617630310058592
1995,other_fed,Very low,0.0,0.0
1995,other_fed,Low,0.0,0.0
1995,other_fed,Moderate,0.0,0.0
1995,other_fed,High,0.0,0.0
1995,private,Very low,6.763191381596584,237.03444133154773
1995,private,Low,2.318395057349112,32.30411416379443
1995,private,Moderate,15.584522031082454,183.75359924931547
1995,private,High,51.003892864990235,341.5656652098891
1995,tribal,Very low,0.0,0.0
1995,tribal,Low,0.0,0.0
1995,tribal,Moderate,0.0,0.0
1995,tribal,High,0.0,0.0
1995,usfs,Very low,0.0663939392089843,41.62283952584061
1995,usfs,Low,0.0,5.398597708500881
1995,usfs,Moderate,9.16269154663086,43.28466265727922
1995,usfs,High,35.453395581054686,115.7189663743442
1996,blm,Very low,0.1355708283547794,118.07796223096659
1996,blm,Low,0.1393906005859375,74.35051021285712
1996,blm,Moderate,3.486421067756204,368.9988071172259
1996,blm,High,23.761629528808598,1752.4223452341837
1996,nonfed_public,Very low,0.3484827941894531,18.91874019275141
1996,nonfed_public,Low,0.418172314453125,8.509102026702283
1996,nonfed_public,Moderate,4.409897315099379,62.48652947145949
1996,nonfed_public,High,5.781458569335939,187.9412833725873
1996,other_fed,Very low,0.0,0.0
1996,other_fed,Low,0.0,0.0
1996,other_fed,Moderate,0.0,0.0
1996,other_fed,High,0.0,0.0
1996,private,Very low,48.69665814031863,775.7668549213726
1996,private,Low,30.301796627508423,464.58959064639816
1996,private,Moderate,367.8969787747492,3590.976200898317
1996,private,High,1050.5418855510638,6653.44538262499
1996,tribal,Very low,0.0,198.6256090279613
1996,tribal,Low,0.0,165.35695575343712
1996,tribal,Moderate,3.4850859069824214,574.544844997774
1996,tribal,High,2.831565008544922,134.8342016404096
1996,usfs,Very low,9.36881281120749,3468.7492145518995
1996,usfs,Low,10.12529307507085,1560.297078735925
1996,usfs,Moderate,268.30508214300414,7683.2208007107765
1996,usfs,High,1344.9695126343972,19062.986422722315
1997,blm,Very low,0.0,0.0
1997,blm,Low,0.0,0.0
1997,blm,Moderate,0.1096662937059589,0.1096662937059589
1997,blm,High,4.30785966796875,7.432556499119174
1997,nonfed_public,Very low,0.0,0.0
1997,nonfed_public,Low,0.0,0.0
1997,nonfed_public,Moderate,0.0,0.0
1997,nonfed_public,High,0.0,0.0
1997,other_fed,Very low,0.0,0.0
1997,other_fed,Low,0.0,0.0
1997,other_fed,Moderate,0.0,0.0
1997,other_fed,High,0.0,0.0
1997,private,Very low,0.0,36.615466211224735
1997,private,Low,0.0,14.693823284912105
1997,private,Moderate,0.5201507209329044,92.08490990995517
1997,private,High,7.296790835391774,124.05037541264551
1997,tribal,Very low,0.0,0.0
1997,tribal,Low,0.0,0.0
1997,tribal,Moderate,0.0,0.0
1997,tribal,High,0.0,0.0
1997,usfs,Very low,0.0,91.41284840616866
1997,usfs,Low,0.0,30.24591740083583
1997,usfs,Moderate,0.0,122.40791590130976
1997,usfs,High,0.0,41.3039887258971
1998,blm,Very low,0.0,32.25505235555014
1998,blm,Low,0.0,5.575115350269991
1998,blm,Moderate,0.7505937561035156,47.8371736990177
1998,blm,High,0.5734086547851562,70.17423971208162
1998,nonfed_public,Very low,0.358119873046875,7.051369829652076
1998,nonfed_public,Low,0.1193745483398437,5.5668463438505285
1998,nonfed_public,Moderate,1.0861317687988281,36.04118219001321
1998,nonfed_public,High,3.6794360168457043,74.44428530141793
1998,other_fed,Very low,0.0,0.0
1998,other_fed,Low,0.0,0.0
1998,other_fed,Moderate,0.0,0.0
1998,other_fed,High,0.0,0.0
1998,private,Very low,51.980096218692545,418.1406791279635
1998,private,Low,19.69777943720799,155.65986593197093
1998,private,Moderate,110.27831104228898,1099.0217520903466
1998,private,High,136.03098013305666,1909.1463403955077
1998,tribal,Very low,0.0,11.62716051200119
1998,tribal,Low,0.0,5.148503970348882
1998,tribal,Moderate,0.0626204467773437,39.44003402228861
1998,tribal,High,2.6300259643554686,30.27652517606848
1998,usfs,Very low,19.98358546920477,191.30281660254377
1998,usfs,Low,3.617943570341223,45.433503141850494
1998,usfs,Moderate,29.991299509420973,262.54062305855547
1998,usfs,High,119.77718691384706,354.63645803131703
1999,blm,Very low,12.472200971344593,1272.722021983259
1999,blm,Low,5.999528302001954,378.0662788089049
1999,blm,Moderate,52.12980432128907,812.6590274534936
1999,blm,High,118.30850672607421,1060.539233347934
1999,nonfed_public,Very low,4.830464288330078,414.1112070152134
1999,nonfed_public,Low,1.8632244018554684,94.27030790192248
1999,nonfed_public,Moderate,13.079447130390243,227.43599748365216
1999,nonfed_public,High,19.659152886962893,102.79760607259115
1999,other_fed,Very low,0.0,1.879263305855545
1999,other_fed,Low,0.0,0.6763238927983304
1999,other_fed,Moderate,3.340183605957032,10.28253153126436
1999,other_fed,High,4.02185230102539,8.55055701301126
1999,private,Very low,288.4170859481273,3951.0109966479504
1999,private,Low,116.13196749035407,1137.5238123691931
1999,private,Moderate,479.4468679767923,4943.505174919793
1999,private,High,237.44403099015778,2579.0113576983044
1999,tribal,Very low,3.178002862548828,278.92327645132025
1999,tribal,Low,1.4618768493652343,49.51852973194796
1999,tribal,Moderate,10.2338814453125,237.95088035601447
1999,tribal,High,13.476411907958983,187.3537730461091
1999,usfs,Very low,54.26726174462413,9208.678111107392
